case_name,bpmn_trace_count,dsl_trace_count,logical_path_exported_count,bounded_trace_equivalence,step_wise_transition_preservation,passed
Blood_analysis,12,12,12,True,True,True
Hotel_Booking,18,18,18,True,True,True
ManagementSystem,4,4,4,True,True,True
Pizza_Order,4,4,4,True,True,True
Purchase,4,4,4,True,True,True
Rental_Claim,4,4,4,True,True,True
SupplyChain,4,4,4,True,True,True
SupplyChainPaper,8,8,8,True,True,True
amazon,4,4,4,True,True,True
customer,10,10,10,True,True,True
manufactory,3,3,3,True,True,True
